date, pm25, pm10, o3, no2, so2, co
01/04/2025,62,26,34,21, , 
02/04/2025,49,38,38,32, , 
03/04/2025,63,36,41,36, , 
04/04/2025,64,30,43,32, , 
05/04/2025,72,25,34,17, , 
06/04/2025,59,30,35,28, , 
07/04/2025,59,38,35,33, , 
08/04/2025,73,47,38,26, , 
09/04/2025,84,43,31,22, , 
10/04/2025,78,43,39,30, , 
11/04/2025,80, , , , , 
01/01/2025,42,13,24,18, , 
02/01/2025,44,29,15,27, , 
03/01/2025,67,34,17,24, , 
04/01/2025,82,15,23,13, , 
05/01/2025,40,16,26,13, , 
06/01/2025,35,18,26,15, , 
07/01/2025,37,18,27,23, , 
08/01/2025,43,21,26,17, , 
09/01/2025,39,31,15,27, , 
10/01/2025,64,28,15,18, , 
11/01/2025,71,28,14,19, , 
12/01/2025,69,34,18,27, , 
13/01/2025,64,53,5,38, , 
14/01/2025,106,49, ,29, , 
15/01/2025,116,32,16,23, , 
16/01/2025,67,40,7,22, , 
17/01/2025,87,33,10,18, , 
18/01/2025,75,44,9,23, , 
19/01/2025,105,46,2,22, , 
20/01/2025,105,53,1,22, , 
21/01/2025,121,36,8,27, , 
22/01/2025,79,23,23,17, , 
23/01/2025,51,16,26,16, , 
24/01/2025,28,12,27,21, , 
25/01/2025,37,10,27,17, , 
26/01/2025,30,14,32,15, , 
27/01/2025,25,18,30,16, , 
28/01/2025,38,19,26,20, , 
29/01/2025,44,17,20,22, , 
30/01/2025,44,27,25,29, , 
31/01/2025,54,29,16,28, , 
01/02/2025,64,35,16,27, , 
02/02/2025,79,43,4,24, , 
03/02/2025,91,29,9,21, , 
04/02/2025,72,32,16,23, , 
05/02/2025,68,32,17,19, , 
06/02/2025,62,32,18,19, , 
07/02/2025,65,20,18,18, , 
08/02/2025,50,17,16,20, , 
09/02/2025,50,20,11,20, , 
10/02/2025,60,34,14,22, , 
11/02/2025,70,39,11,27, , 
12/02/2025,79,33,13,21, , 
13/02/2025,79,51,22,26, , 
14/02/2025,117,37,17,24, , 
15/02/2025,85,38,18,22, , 
16/02/2025,90,44,14,24, , 
17/02/2025,91,41,17,23, , 
18/02/2025,83,53,12,25, , 
19/02/2025,103,37,12,29, , 
20/02/2025,72,41,17,29, , 
21/02/2025,68,22,30,23, , 
22/02/2025,53,30,28,24, , 
23/02/2025,61,23,23,21, , 
24/02/2025,39,19,26,18, , 
25/02/2025,42,19,27,16, , 
26/02/2025,42,16,25,13, , 
27/02/2025,39,23,24,19, , 
28/02/2025,55,27,23,19, , 
01/03/2025,69,24,24,17, , 
02/03/2025,67,36,20,28, , 
03/03/2025,78,52,13,34, , 
04/03/2025,99,56,27,37, , 
05/03/2025,120,45,35,37, , 
06/03/2025,82,41,31,36, , 
07/03/2025,61,30,35,28, , 
08/03/2025,58,29,34,27, , 
09/03/2025,60,32,29,33, , 
10/03/2025,57,49,27,27, , 
11/03/2025,103,22,24,20, , 
12/03/2025,43,23,26,16, , 
13/03/2025,54,30,23,22, , 
14/03/2025,64,28,25,17, , 
15/03/2025,68,29,25,17, , 
16/03/2025,76,32,31,22, , 
17/03/2025,70,29,26,24, , 
18/03/2025,62,41,33,31, , 
19/03/2025,59,38,31,34, , 
20/03/2025,59,45,26,30, , 
21/03/2025,64,22,30,25, , 
22/03/2025,46,16,28,23, , 
23/03/2025,34,29,20,24, , 
24/03/2025,66,47,30,15, , 
25/03/2025,106,34,23,17, , 
26/03/2025,77,39,28,25, , 
27/03/2025,72,35,27,19, , 
28/03/2025,62,21,30,14, , 
29/03/2025,42,16,29,15, , 
30/03/2025,36,29,30,20, , 
31/03/2025,55,31,34,19, , 
01/10/2024,43,15,19,16, , 
02/10/2024,40,20,22,19, , 
03/10/2024,53,22,20,25, , 
04/10/2024,53,21,25,25, , 
05/10/2024,49,13,14,16, , 
06/10/2024,39,20,17,22, , 
07/10/2024,40,21,25,28, , 
08/10/2024,45,12,26,22, , 
09/10/2024,35,12,19,15, , 
10/10/2024,29,22,19,32, , 
11/10/2024,53,21,10,23, , 
12/10/2024,46,18,22,21, , 
13/10/2024,42,22,12,22, , 
14/10/2024,47,24,10,20, , 
15/10/2024,70,21,23,24, , 
16/10/2024,37,11,21,22, , 
17/10/2024,26,15,21,16, , 
18/10/2024,29,21,19,22, , 
19/10/2024,47,17,21,20, , 
20/10/2024,40,23,19,17, , 
21/10/2024,42,18,20,17, , 
22/10/2024,37,28,19,27, , 
23/10/2024,53,24,10,22, , 
24/10/2024,52,25,16,22, , 
25/10/2024,57,28,11,21, , 
26/10/2024,69,21,9,17, , 
27/10/2024,62,25,11,21, , 
28/10/2024,67,20,14,21, , 
29/10/2024,50,22,14,21, , 
30/10/2024,47,21,15,18, , 
31/10/2024,51,24,8,17, , 
01/11/2024,59,20,13,16, , 
02/11/2024,53,19,13,14, , 
03/11/2024,59,31,3,19, , 
04/11/2024,74,34, ,15, , 
05/11/2024,72,30,7,18, , 
06/11/2024,65,28,7,19, , 
07/11/2024,58,17,7,18, , 
08/11/2024,52,30,5,18, , 
09/11/2024,71,22,10,15, , 
10/11/2024,61,26,13,16, , 
11/11/2024,64,19,16,16, , 
12/11/2024,39,30,9,19, , 
13/11/2024,65,35,7,22, , 
14/11/2024,74,26,20,28, , 
15/11/2024,56,27,18,23, , 
16/11/2024,62,22,13,16, , 
17/11/2024,62,16,21,18, , 
18/11/2024,40,10,24,15, , 
19/11/2024,23,14,23,16, , 
20/11/2024,34,18,17,24, , 
21/11/2024,53,16,23,21, , 
22/11/2024,50,23,21,22, , 
23/11/2024,50,21,24,16, , 
24/11/2024,34,20,23,23, , 
25/11/2024,41,25,20,24, , 
26/11/2024,55,16,18,16, , 
27/11/2024,41,21,20,26, , 
28/11/2024,47,27,12,29, , 
29/11/2024,61,30,5,20, , 
30/11/2024,71,26,2,14, , 
01/12/2024,68,21,22,18, , 
02/12/2024,40,25,18,21, , 
03/12/2024,47,34,13,23, , 
04/12/2024,65,16,16,18, , 
05/12/2024,41,28,27,19, , 
06/12/2024,46,19,28,11, , 
07/12/2024,37,12,22,11, , 
08/12/2024,34,20,13,9, , 
09/12/2024,51,16,9,14, , 
10/12/2024,49,22,11,18, , 
11/12/2024,58,25,14,29, , 
12/12/2024,62,33,10,29, , 
13/12/2024,76,32,11,25, , 
