date, pm25, pm10, o3, no2, so2, co
2025/4/1, 24, 3, 32, 4, , 
2025/4/2, 9, 5, 28, 9, , 2
2025/4/3, 19, 7, 39, 9, , 3
2025/4/4, 28, 9, 42, 6, , 2
2025/4/5, 28, 8, 46, 4, , 2
2025/4/6, 24, 10, 43, 4, , 
2025/4/7, 28, 14, 52, 11, , 3
2025/4/8, 43, 12, 52, 9, , 2
2025/4/9, 36, 15, 62, 7, , 2
2025/4/10, 43, 16, 43, 9, , 2
2025/4/11, 51, 13, 38, 6, , 3
2025/4/12, 47, , , , , 
2025/1/1, 25, 7, 30, 14, , 3
2025/1/2, 26, 6, 25, 5, , 2
2025/1/3, 20, 4, 29, 6, , 3
2025/1/4, 19, 9, 21, 15, , 3
2025/1/5, 36, 16, 21, 22, , 4
2025/1/6, 64, 7, 26, 15, , 3
2025/1/7, 33, 4, 24, 13, , 2
2025/1/8, 16, 6, 28, 11, , 2
2025/1/9, 23, 3, 29, 7, , 2
2025/1/10, 13, 5, 27, 16, , 3
2025/1/11, 21, 11, 22, 12, , 3
2025/1/12, 40, 8, 33, 9, , 3
2025/1/13, 33, 8, 21, 23, , 4
2025/1/14, 32, 9, 29, 19, , 4
2025/1/15, 33, 5, 23, 15, , 5
2025/1/16, 22, 7, 29, 10, , 3
2025/1/17, 21, 6, 31, 10, , 4
2025/1/18, 25, 15, 26, 13, , 4
2025/1/19, 56, 12, 24, 20, , 3
2025/1/20, 56, 11, 30, 9, , 2
2025/1/21, 45, 9, 36, 15, , 4
2025/1/22, 33, 13, 22, 29, , 4
2025/1/23, 51, 14, 37, 16, , 4
2025/1/24, 52, 7, 30, 6, , 2
2025/1/25, 30, 3, 35, 4, , 
2025/1/26, 12, 7, 19, 19, , 4
2025/1/27, 29, 12, 29, 17, , 3
2025/1/28, 50, 5, 33, 9, , 2
2025/1/29, 21, 5, 31, 12, , 3
2025/1/30, 21, 4, 34, 6, , 2
2025/1/31, 20, 13, 34, 15, , 3
2025/2/1, 43, 11, 27, 8, , 3
2025/2/2, 53, 12, 19, 18, , 4
2025/2/3, 52, 7, 33, 9, , 2
2025/2/4, 27, 4, 33, 9, , 2
2025/2/5, 16, 4, 32, 8, , 2
2025/2/6, 17, 6, 34, 14, , 3
2025/2/7, 31, 5, 32, 4, , 2
2025/2/8, 19, 4, 33, 4, , 2
2025/2/9, 15, 5, 29, 10, , 2
2025/2/10, 21, 6, 34, 8, , 2
2025/2/11, 25, 10, 29, 16, , 2
2025/2/12, 36, 10, 34, 9, , 2
2025/2/13, 42, 6, 32, 9, , 2
2025/2/14, 23, 8, 36, 5, , 2
2025/2/15, 27, 13, 40, 10, , 2
2025/2/16, 46, 10, 36, 9, , 2
2025/2/17, 39, 5, 33, 3, , 
2025/2/18, 18, 3, 33, 4, , 
2025/2/19, 19, 4, 34, 8, , 2
2025/2/20, 17, 4, 34, 5, , 2
2025/2/21, 18, 5, 35, 4, , 
2025/2/22, 23, 6, 36, 5, , 2
2025/2/23, 21, 6, 37, 4, , 2
2025/2/24, 23, 8, 39, 10, , 3
2025/2/25, 27, 10, 39, 12, , 3
2025/2/26, 37, 11, 44, 9, , 2
2025/2/27, 40, 20, 40, 24, , 4
2025/2/28, 67, 21, 63, 18, , 3
2025/3/1, 71, 21, 51, 13, , 3
2025/3/2, 67, 8, 40, 9, , 2
2025/3/3, 35, 8, 27, 11, , 2
