"Diseases & Risk Factors","Indicator Name","Cancer Type","Year","Country Name","Region","Gender","Area","Numeric","Lower Confidence Limit","Upper Confidence Limit","Comment",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2000","China","Western Pacific Region","Total","","24","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2000","China","Western Pacific Region","Males","","28","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2000","China","Western Pacific Region","Females","","20","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2001","China","Western Pacific Region","Total","","24","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2001","China","Western Pacific Region","Males","","28","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2001","China","Western Pacific Region","Females","","19","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2002","China","Western Pacific Region","Total","","24","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2002","China","Western Pacific Region","Males","","28","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2002","China","Western Pacific Region","Females","","19","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2003","China","Western Pacific Region","Total","","23","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2003","China","Western Pacific Region","Males","","28","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2003","China","Western Pacific Region","Females","","19","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2004","China","Western Pacific Region","Total","","23","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2004","China","Western Pacific Region","Males","","28","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2004","China","Western Pacific Region","Females","","19","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2005","China","Western Pacific Region","Total","","22","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2005","China","Western Pacific Region","Males","","27","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2005","China","Western Pacific Region","Females","","18","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2006","China","Western Pacific Region","Total","","21","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2006","China","Western Pacific Region","Males","","26","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2006","China","Western Pacific Region","Females","","17","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2007","China","Western Pacific Region","Total","","20","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2007","China","Western Pacific Region","Males","","25","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2007","China","Western Pacific Region","Females","","16","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2008","China","Western Pacific Region","Total","","20","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2008","China","Western Pacific Region","Males","","25","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2008","China","Western Pacific Region","Females","","15","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2009","China","Western Pacific Region","Total","","20","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2009","China","Western Pacific Region","Males","","25","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2009","China","Western Pacific Region","Females","","15","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2010","China","Western Pacific Region","Total","","19","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2010","China","Western Pacific Region","Males","","24","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2010","China","Western Pacific Region","Females","","14","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2011","China","Western Pacific Region","Total","","19","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2011","China","Western Pacific Region","Males","","24","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2011","China","Western Pacific Region","Females","","14","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2012","China","Western Pacific Region","Total","","19","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2012","China","Western Pacific Region","Males","","24","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2012","China","Western Pacific Region","Females","","13","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2013","China","Western Pacific Region","Total","","18","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2013","China","Western Pacific Region","Males","","23","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2013","China","Western Pacific Region","Females","","13","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2014","China","Western Pacific Region","Total","","17","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2014","China","Western Pacific Region","Males","","22","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2014","China","Western Pacific Region","Females","","12","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2015","China","Western Pacific Region","Total","","17","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2015","China","Western Pacific Region","Males","","22","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2015","China","Western Pacific Region","Females","","12","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2016","China","Western Pacific Region","Total","","17","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2016","China","Western Pacific Region","Males","","22","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2016","China","Western Pacific Region","Females","","12","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2017","China","Western Pacific Region","Total","","16","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2017","China","Western Pacific Region","Males","","21","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2017","China","Western Pacific Region","Females","","12","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2018","China","Western Pacific Region","Total","","16","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2018","China","Western Pacific Region","Males","","21","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2018","China","Western Pacific Region","Females","","12","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2019","China","Western Pacific Region","Total","","16","no data","no data","In this geography, some NCD deaths were included in a separate category called “other pandemic-related mortality” in 2020 and 2021 due to incomplete or low-quality vital registration data. Because this may have affected trends between 2019 to 2021, only data through 2019 are displayed here. ",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2019","China","Western Pacific Region","Males","","20","no data","no data","In this geography, some NCD deaths were included in a separate category called “other pandemic-related mortality” in 2020 and 2021 due to incomplete or low-quality vital registration data. Because this may have affected trends between 2019 to 2021, only data through 2019 are displayed here. ",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2019","China","Western Pacific Region","Females","","12","no data","no data","In this geography, some NCD deaths were included in a separate category called “other pandemic-related mortality” in 2020 and 2021 due to incomplete or low-quality vital registration data. Because this may have affected trends between 2019 to 2021, only data through 2019 are displayed here. ",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2000","China","Western Pacific Region","Total","","81.68830872","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2000","China","Western Pacific Region","Males","","79.75540924","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2000","China","Western Pacific Region","Females","","84.04493713","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2001","China","Western Pacific Region","Total","","82.57633209","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2001","China","Western Pacific Region","Males","","80.67599487","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2001","China","Western Pacific Region","Females","","84.91310883","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2002","China","Western Pacific Region","Total","","83.34729767","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2002","China","Western Pacific Region","Males","","81.49297333","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2002","China","Western Pacific Region","Females","","85.65398407","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2003","China","Western Pacific Region","Total","","84.16226196","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2003","China","Western Pacific Region","Males","","82.40810394","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2003","China","Western Pacific Region","Females","","86.38505554","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2004","China","Western Pacific Region","Total","","84.8550415","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2004","China","Western Pacific Region","Males","","83.17421722","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2004","China","Western Pacific Region","Females","","87.00326538","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2005","China","Western Pacific Region","Total","","85.33724213","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2005","China","Western Pacific Region","Males","","83.6714859","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2005","China","Western Pacific Region","Females","","87.48500061","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2006","China","Western Pacific Region","Total","","85.5252533","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2006","China","Western Pacific Region","Males","","83.84661102","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2006","China","Western Pacific Region","Females","","87.71471405","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2007","China","Western Pacific Region","Total","","85.85069275","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2007","China","Western Pacific Region","Males","","84.20397949","no data","no data","",
"Noncommunicable diseases","Percentage of total deaths due to NCDs","","2007","China","Western Pacific Region","Females","","88.04049683","no data","no data","",
