"Diseases & Risk Factors","Indicator Name","Cancer Type","Year","Country Name","Region","Gender","Area","Numeric","Lower Confidence Limit","Upper Confidence Limit","Comment",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2000","France","European Region","Total","","14","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2000","France","European Region","Males","","20","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2000","France","European Region","Females","","9","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2001","France","European Region","Total","","14","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2001","France","European Region","Males","","19","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2001","France","European Region","Females","","9","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2002","France","European Region","Total","","14","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2002","France","European Region","Males","","19","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2002","France","European Region","Females","","9","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2003","France","European Region","Total","","13","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2003","France","European Region","Males","","18","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2003","France","European Region","Females","","9","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2004","France","European Region","Total","","13","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2004","France","European Region","Males","","18","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2004","France","European Region","Females","","8","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2005","France","European Region","Total","","13","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2005","France","European Region","Males","","17","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2005","France","European Region","Females","","8","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2006","France","European Region","Total","","12","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2006","France","European Region","Males","","17","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2006","France","European Region","Females","","8","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2007","France","European Region","Total","","12","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2007","France","European Region","Males","","17","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2007","France","European Region","Females","","8","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2008","France","European Region","Total","","12","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2008","France","European Region","Males","","16","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2008","France","European Region","Females","","8","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2009","France","European Region","Total","","12","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2009","France","European Region","Males","","16","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2009","France","European Region","Females","","8","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2010","France","European Region","Total","","12","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2010","France","European Region","Males","","16","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2010","France","European Region","Females","","8","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2011","France","European Region","Total","","12","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2011","France","European Region","Males","","16","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2011","France","European Region","Females","","8","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2012","France","European Region","Total","","11","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2012","France","European Region","Males","","15","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2012","France","European Region","Females","","8","no data","no data","",
