Diseases & Risk Factors,Indicator Name,Cancer Type,Year,Country Name,Region,Gender,Area,Numeric,Lower Confidence Limit,Upper Confidence Limit,Comment
Noncommunicable diseases,Probability of premature mortality from NCDs,,2000,India,South-East Asia Region,Total,,23,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2000,India,South-East Asia Region,Males,,26,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2000,India,South-East Asia Region,Females,,20,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2001,India,South-East Asia Region,Total,,23,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2001,India,South-East Asia Region,Males,,25,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2001,India,South-East Asia Region,Females,,20,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2002,India,South-East Asia Region,Total,,23,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2002,India,South-East Asia Region,Males,,25,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2002,India,South-East Asia Region,Females,,20,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2003,India,South-East Asia Region,Total,,22,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2003,India,South-East Asia Region,Males,,25,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2003,India,South-East Asia Region,Females,,19,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2004,India,South-East Asia Region,Total,,22,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2004,India,South-East Asia Region,Males,,25,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2004,India,South-East Asia Region,Females,,18,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2005,India,South-East Asia Region,Total,,21,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2005,India,South-East Asia Region,Males,,25,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2005,India,South-East Asia Region,Females,,18,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2006,India,South-East Asia Region,Total,,22,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2006,India,South-East Asia Region,Males,,25,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2006,India,South-East Asia Region,Females,,18,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2007,India,South-East Asia Region,Total,,22,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2007,India,South-East Asia Region,Males,,25,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2007,India,South-East Asia Region,Females,,19,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2008,India,South-East Asia Region,Total,,22,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2008,India,South-East Asia Region,Males,,25,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2008,India,South-East Asia Region,Females,,19,no data,no data,
Noncommunicable diseases,Probability of premature mortality from NCDs,,2009,India,South-East Asia Region,Total,,22,no data,no data,
