"Diseases & Risk Factors","Indicator Name","Cancer Type","Year","Country Name","Region","Gender","Area","Numeric","Lower Confidence Limit","Upper Confidence Limit","Comment",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2000","Japan","Western Pacific Region","Total","","11","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2000","Japan","Western Pacific Region","Males","","15","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2000","Japan","Western Pacific Region","Females","","7","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2001","Japan","Western Pacific Region","Total","","11","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2001","Japan","Western Pacific Region","Males","","15","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2001","Japan","Western Pacific Region","Females","","7","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2002","Japan","Western Pacific Region","Total","","11","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2002","Japan","Western Pacific Region","Males","","14","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2002","Japan","Western Pacific Region","Females","","7","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2003","Japan","Western Pacific Region","Total","","11","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2003","Japan","Western Pacific Region","Males","","14","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2003","Japan","Western Pacific Region","Females","","7","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2004","Japan","Western Pacific Region","Total","","10","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2004","Japan","Western Pacific Region","Males","","14","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2004","Japan","Western Pacific Region","Females","","7","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2005","Japan","Western Pacific Region","Total","","10","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2005","Japan","Western Pacific Region","Males","","14","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2005","Japan","Western Pacific Region","Females","","7","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2006","Japan","Western Pacific Region","Total","","10","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2006","Japan","Western Pacific Region","Males","","13","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2006","Japan","Western Pacific Region","Females","","7","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2007","Japan","Western Pacific Region","Total","","10","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2007","Japan","Western Pacific Region","Males","","13","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2007","Japan","Western Pacific Region","Females","","7","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2008","Japan","Western Pacific Region","Total","","10","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2008","Japan","Western Pacific Region","Males","","13","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2008","Japan","Western Pacific Region","Females","","6","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2009","Japan","Western Pacific Region","Total","","10","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2009","Japan","Western Pacific Region","Males","","13","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2009","Japan","Western Pacific Region","Females","","6","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2010","Japan","Western Pacific Region","Total","","10","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2010","Japan","Western Pacific Region","Males","","13","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2010","Japan","Western Pacific Region","Females","","6","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2011","Japan","Western Pacific Region","Total","","10","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2011","Japan","Western Pacific Region","Males","","13","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2011","Japan","Western Pacific Region","Females","","6","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2012","Japan","Western Pacific Region","Total","","9","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2012","Japan","Western Pacific Region","Males","","13","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2012","Japan","Western Pacific Region","Females","","6","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2013","Japan","Western Pacific Region","Total","","9","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2013","Japan","Western Pacific Region","Males","","12","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2013","Japan","Western Pacific Region","Females","","6","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2014","Japan","Western Pacific Region","Total","","9","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2014","Japan","Western Pacific Region","Males","","12","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2014","Japan","Western Pacific Region","Females","","6","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2015","Japan","Western Pacific Region","Total","","9","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2015","Japan","Western Pacific Region","Males","","12","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2015","Japan","Western Pacific Region","Females","","6","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2016","Japan","Western Pacific Region","Total","","9","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2016","Japan","Western Pacific Region","Males","","12","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2016","Japan","Western Pacific Region","Females","","6","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2017","Japan","Western Pacific Region","Total","","9","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2017","Japan","Western Pacific Region","Males","","11","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2017","Japan","Western Pacific Region","Females","","6","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2018","Japan","Western Pacific Region","Total","","8","no data","no data","",
