"Diseases & Risk Factors","Indicator Name","Cancer Type","Year","Country Name","Region","Gender","Area","Numeric","Lower Confidence Limit","Upper Confidence Limit","Comment",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2000","United States of America","Region of the Americas","Total","","18","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2000","United States of America","Region of the Americas","Males","","21","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2000","United States of America","Region of the Americas","Females","","15","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2001","United States of America","Region of the Americas","Total","","17","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2001","United States of America","Region of the Americas","Males","","21","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2001","United States of America","Region of the Americas","Females","","14","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2002","United States of America","Region of the Americas","Total","","17","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2002","United States of America","Region of the Americas","Males","","20","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2002","United States of America","Region of the Americas","Females","","14","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2003","United States of America","Region of the Americas","Total","","17","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2003","United States of America","Region of the Americas","Males","","20","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2003","United States of America","Region of the Americas","Females","","14","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2004","United States of America","Region of the Americas","Total","","16","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2004","United States of America","Region of the Americas","Males","","19","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2004","United States of America","Region of the Americas","Females","","13","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2005","United States of America","Region of the Americas","Total","","16","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2005","United States of America","Region of the Americas","Males","","19","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2005","United States of America","Region of the Americas","Females","","13","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2006","United States of America","Region of the Americas","Total","","16","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2006","United States of America","Region of the Americas","Males","","19","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2006","United States of America","Region of the Americas","Females","","13","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2007","United States of America","Region of the Americas","Total","","15","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2007","United States of America","Region of the Americas","Males","","18","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2007","United States of America","Region of the Americas","Females","","12","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2008","United States of America","Region of the Americas","Total","","15","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2008","United States of America","Region of the Americas","Males","","18","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2008","United States of America","Region of the Americas","Females","","12","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2009","United States of America","Region of the Americas","Total","","15","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2009","United States of America","Region of the Americas","Males","","18","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2009","United States of America","Region of the Americas","Females","","12","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2010","United States of America","Region of the Americas","Total","","15","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2010","United States of America","Region of the Americas","Males","","18","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2010","United States of America","Region of the Americas","Females","","12","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2011","United States of America","Region of the Americas","Total","","14","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2011","United States of America","Region of the Americas","Males","","17","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2011","United States of America","Region of the Americas","Females","","11","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2012","United States of America","Region of the Americas","Total","","14","no data","no data","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2012","United States of America","Region of the Americas","Males","","17","no data","no data","",
